정류장_ID,위도,경도,버스도착정보안내기_설치_여부,구이름,행정동
104000097,127.076871,37.5327,설치   ,광진구,자양2동
104000096,127.075013,37.530369,미설치  ,광진구,자양2동
104000095,127.084806,37.532955,미설치  ,광진구,자양1동
104000094,127.084608,37.532192,미설치  ,광진구,자양1동
104000092,127.081413,37.531573,미설치  ,광진구,자양1동
104000090,127.077319,37.53275,설치   ,광진구,자양1동
104000087,127.074926,37.538949,설치   ,광진구,화양동
104000086,127.078796,37.537479,설치   ,광진구,자양1동
104000085,127.078659,37.537844,설치   ,광진구,자양1동
104000084,127.082104,37.53675,설치   ,광진구,자양1동
104000083,127.082604,37.536889,설치   ,광진구,자양1동
104000082,127.083153,37.538488,설치   ,광진구,자양1동
104000081,127.108723,37.550613,설치   ,광진구,광장동
104000080,127.109026,37.550496,설치   ,광진구,광장동
104000078,127.103229,37.545614,미설치  ,광진구,광장동
104000077,127.103305,37.545094,미설치  ,광진구,광장동
104000076,127.103086,37.543917,미설치  ,광진구,광장동
104000075,127.103069,37.543473,미설치  ,광진구,광장동
104000074,127.099075,37.542013,설치   ,광진구,광장동
104000073,127.097463,37.541797,설치   ,광진구,광장동
104000072,127.093688,37.543389,설치   ,광진구,광장동
104000071,127.09321,37.543393,미설치  ,광진구,구의3동
104000070,127.096666,37.537962,미설치  ,광진구,구의3동
104000069,127.094065,37.53683,설치   ,광진구,구의3동
104000065,127.090409,37.537998,설치   ,광진구,구의3동
104000064,127.094254,37.539585,설치   ,광진구,구의3동
104000063,127.094009,37.539552,설치   ,광진구,구의3동
104000062,127.089051,37.544964,설치   ,광진구,구의2동
104000061,127.086348,37.545817,설치   ,광진구,구의2동
104000060,127.085747,37.545651,설치   ,광진구,구의2동
104000059,127.089586,37.548642,설치   ,광진구,구의2동
104000058,127.089785,37.549252,설치   ,광진구,구의2동
104000057,127.089104,37.544655,미설치  ,광진구,구의1동
104000056,127.087977,37.537703,설치   ,광진구,구의1동
104000055,127.083519,37.538986,설치   ,광진구,구의1동
104000054,127.084359,37.542211,미설치  ,광진구,구의1동
104000053,127.084647,37.543087,설치   ,광진구,구의1동
104000052,127.083688,37.541534,미설치  ,광진구,구의1동
104000051,127.08458,37.544933,미설치  ,광진구,구의1동
104000050,127.077231,37.546028,미설치  ,광진구,능동
104000049,127.083978,37.54525,미설치  ,광진구,능동
104000048,127.078635,37.555177,설치   ,광진구,능동
104000047,127.077031,37.552046,설치   ,광진구,능동
104000046,127.088669,37.554197,미설치  ,광진구,중곡4동
104000045,127.08793,37.558319,설치   ,광진구,중곡4동
104000044,127.087309,37.562695,설치   ,광진구,중곡4동
104000043,127.086968,37.564199,미설치  ,광진구,중곡4동
104000042,127.086374,37.567868,설치   ,광진구,중곡4동
104000041,127.086709,37.563966,설치   ,광진구,중곡3동
104000040,127.084545,37.566046,미설치  ,광진구,중곡3동
104000039,127.08559,37.567933,설치   ,광진구,중곡3동
104000038,127.086057,37.567916,설치   ,광진구,중곡3동
104000037,127.083418,37.57089,설치   ,광진구,중곡3동
104000036,127.083137,37.570635,설치   ,광진구,중곡3동
104000035,127.082642,37.568492,설치   ,광진구,중곡3동
104000034,127.082885,37.568635,설치   ,광진구,중곡3동
104000033,127.081741,37.566853,설치   ,광진구,중곡3동
104000032,127.081615,37.56634,설치   ,광진구,중곡3동
104000031,127.080997,37.565497,설치   ,광진구,중곡3동
104000030,127.077177,37.565796,설치   ,광진구,중곡1동
104000029,127.0779,37.566401,설치   ,광진구,중곡3동
104000028,127.079583,37.570277,미설치  ,광진구,중곡3동
104000027,127.079729,37.569746,설치   ,광진구,중곡3동
104000026,127.083987,37.561489,설치   ,광진구,중곡2동
104000024,127.087383,37.559957,설치   ,광진구,중곡2동
104000023,127.087062,37.562073,미설치  ,광진구,중곡2동
104000022,127.08336,37.563888,미설치  ,광진구,중곡2동
104000021,127.082847,37.56309,미설치  ,광진구,중곡2동
104000020,127.081155,37.55984,설치   ,광진구,중곡2동
104000019,127.080855,37.559884,설치   ,광진구,중곡1동
104000018,127.081872,37.562291,설치   ,광진구,중곡1동
104000016,127.080993,37.565214,설치   ,광진구,중곡3동
104000015,127.079416,37.562615,설치   ,광진구,중곡1동
104000014,127.079473,37.562454,설치   ,광진구,중곡1동
104000013,127.078495,37.56095,설치   ,광진구,중곡1동
104000012,127.078279,37.560268,설치   ,광진구,중곡1동
104000011,127.077632,37.559087,설치   ,광진구,중곡1동
104000010,127.077541,37.559211,설치   ,광진구,중곡1동
104000009,127.075229,37.562386,설치   ,광진구,중곡1동
104000008,127.075203,37.561533,설치   ,광진구,중곡1동
104000007,127.089245,37.552423,설치   ,광진구,능동
104000006,127.090149,37.551208,설치   ,광진구,구의2동
104000005,127.086551,37.554497,설치   ,광진구,중곡2동
104000004,127.081566,37.556223,설치   ,광진구,능동
104000003,127.082473,37.556099,설치   ,광진구,중곡2동
104000002,127.0749,37.558794,설치   ,광진구,군자동
104000001,127.075646,37.558741,설치   ,광진구,중곡1동
101000252,127.087676,37.558316,설치   ,광진구,중곡2동
